#abgabe.csv
#Jakob Johannes
#Bauer
#12002215
group,number,duration,size
Stable Matching Positiv,130,5100,6
Stable Matching Positiv,131,3000,6
Stable Matching Positiv,132,3700,6
Stable Matching Positiv,133,5400,7
Stable Matching Positiv,134,9100,7
Stable Matching Positiv,135,3400,7
Stable Matching Positiv,136,4300,8
Stable Matching Positiv,137,3800,8
Stable Matching Positiv,138,2800,8
Stable Matching Positiv,139,4700,9
Stable Matching Positiv,140,9400,9
Stable Matching Positiv,141,5500,9
Stable Matching Positiv,142,3000,10
Stable Matching Positiv,143,5100,10
Stable Matching Positiv,144,5200,10
Stable Matching Positiv,145,267200,250
Stable Matching Positiv,146,353500,250
Stable Matching Positiv,147,325400,250
Stable Matching Positiv,148,807100,500
Stable Matching Positiv,149,749700,500
Stable Matching Positiv,150,920700,500
Stable Matching Positiv,151,1409700,750
Stable Matching Positiv,152,1696300,750
Stable Matching Positiv,153,1375300,750
Stable Matching Positiv,154,2726900,1000
Stable Matching Positiv,155,3197000,1000
Stable Matching Positiv,156,2495700,1000
Stable Matching Positiv,157,3003800,1250
Stable Matching Positiv,158,2248400,1250
Stable Matching Positiv,159,2680700,1250
Stable Matching Positiv,160,4349500,1500
Stable Matching Positiv,161,4199900,1500
Stable Matching Positiv,162,4774700,1500
Stable Matching Positiv,163,5640900,1750
Stable Matching Positiv,164,5953400,1750
Stable Matching Positiv,165,7083300,1750
Stable Matching Positiv,166,8348100,2000
Stable Matching Positiv,167,7749200,2000
Stable Matching Positiv,168,10298400,2000
Stable Matching Positiv,169,10658700,2250
Stable Matching Positiv,170,9157000,2250
Stable Matching Positiv,171,10135500,2250
Stable Matching Positiv,172,16172000,2500
Stable Matching Positiv,173,8896200,2500
Stable Matching Positiv,174,8727500,2500
Stable Matching Positiv,175,13074900,2750
Stable Matching Positiv,176,12797500,2750
Stable Matching Positiv,177,12293300,2750
Stable Matching Positiv,178,17582200,3000
Stable Matching Positiv,179,18551200,3000
Stable Matching Positiv,180,23172500,3000
Stable Matching Negativ,181,60100,3
Stable Matching Negativ,182,2700,3
Stable Matching Negativ,183,1100,3
Stable Matching Negativ,184,1800,4
Stable Matching Negativ,185,1000,4
Stable Matching Negativ,186,1000,4
Stable Matching Negativ,187,1700,5
Stable Matching Negativ,188,1500,5
Stable Matching Negativ,189,4400,5
Stable Matching Negativ,190,1100,6
Stable Matching Negativ,191,2700,6
Stable Matching Negativ,192,2600,6
Stable Matching Negativ,193,1000,7
Stable Matching Negativ,194,1800,7
Stable Matching Negativ,195,1300,7
Stable Matching Negativ,196,2900,8
Stable Matching Negativ,197,3100,8
Stable Matching Negativ,198,1400,8
Stable Matching Negativ,199,1400,9
Stable Matching Negativ,200,2100,9
Stable Matching Negativ,201,3100,9
Stable Matching Negativ,202,2800,10
Stable Matching Negativ,203,1400,10
Stable Matching Negativ,204,2200,10
Stable Matching Negativ,205,144000,250
Stable Matching Negativ,206,10000,250
Stable Matching Negativ,207,10400,250
Stable Matching Negativ,208,255800,500
Stable Matching Negativ,209,12500,500
Stable Matching Negativ,210,183700,500
Stable Matching Negativ,211,761800,750
Stable Matching Negativ,212,524700,750
Stable Matching Negativ,213,22700,750
Stable Matching Negativ,214,433700,1000
Stable Matching Negativ,215,149100,1000
Stable Matching Negativ,216,63100,1000
Stable Matching Negativ,217,84900,1250
Stable Matching Negativ,218,313600,1250
Stable Matching Negativ,219,652900,1250
Stable Matching Negativ,220,1118800,1500
Stable Matching Negativ,221,249100,1500
Stable Matching Negativ,222,391400,1500
Stable Matching Negativ,223,1250500,1750
Stable Matching Negativ,224,147300,1750
Stable Matching Negativ,225,419900,1750
Stable Matching Negativ,226,1100800,2000
Stable Matching Negativ,227,316800,2000
Stable Matching Negativ,228,2150000,2000
Stable Matching Negativ,229,1011100,2250
Stable Matching Negativ,230,7628900,2250
Stable Matching Negativ,231,762600,2250
Stable Matching Negativ,232,244100,2500
Stable Matching Negativ,233,3075900,2500
Stable Matching Negativ,234,942600,2500
Stable Matching Negativ,235,723400,2750
Stable Matching Negativ,236,3620700,2750
Stable Matching Negativ,237,4672400,2750
Stable Matching Negativ,238,3153200,3000
Stable Matching Negativ,239,1181900,3000
Stable Matching Negativ,240,4428100,3000
Brute Force,241,16580700,3
Brute Force,242,13400,3
Brute Force,243,9700,3
Brute Force,244,33700,4
Brute Force,245,27800,4
Brute Force,246,86700,4
Brute Force,247,140100,5
Brute Force,248,99600,5
Brute Force,249,77500,5
Brute Force,250,335500,6
Brute Force,251,695300,6
Brute Force,252,182500,6
Brute Force,253,962700,7
Brute Force,254,1059300,7
Brute Force,255,773100,7
Brute Force,256,4861100,8
Brute Force,257,3062900,8
Brute Force,258,4705600,8
Brute Force,259,22538100,9
Brute Force,260,10524000,9
Brute Force,261,18650400,9
Brute Force,262,397651300,10
Brute Force,263,105099900,10
Brute Force,264,1006707700,10
