#abgabe.csv
#Jakob Johannes
#Bauer
#12002215
group,number,heuristicType,source,target,logs
Grid,149,EUCLIDEAN_DISTANCE,2,20,2<7|7<6<12|12<13|13<14<8|14<15|15<10<20|20
Grid,150,EUCLIDEAN_DISTANCE,2,21,2<7|7<6<12|12<13|6<1|13<14<8|1|8<3|14<15|3|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|21
Grid,151,EUCLIDEAN_DISTANCE,2,22,2<7|7<6<12|12<13|6<1|13<14<8|14<15|1|8<3|15<10<20|3|20<25|25<24|24<23|23<22<18|22
Grid,152,EUCLIDEAN_DISTANCE,2,23,2<7|7<6<12|12<13|13<14<8|6<1|14<15|8<3|1|15<10<20|20<25|3|25<24|24<23|23
Grid,153,EUCLIDEAN_DISTANCE,2,24,2<7|7<6<12|12<13|13<14<8|14<15|6<1|8<3|15<10<20|20<25|1|25<24|24
Grid,154,EUCLIDEAN_DISTANCE,2,25,2<7|7<6<12|12<13|13<14<8|14<15|6<1|15<10<20|20<25|25
Grid,155,EUCLIDEAN_DISTANCE,3,1,3<2|2<7|7<6<12|6<1|1
Grid,156,EUCLIDEAN_DISTANCE,3,2,3<2|2
Grid,157,EUCLIDEAN_DISTANCE,3,3,3
Grid,158,EUCLIDEAN_DISTANCE,3,4,3<2|2<7|7<6<12|12<13|6<1|13<14<8|8|1|14<15|15<10<20|10<5|5<4|4
Grid,159,EUCLIDEAN_DISTANCE,3,5,3<2|2<7|7<6<12|12<13|13<14<8|6<1|8|14<15|1|15<10<20|10<5|5
Grid,160,EUCLIDEAN_DISTANCE,3,6,3<2|2<7|7<6<12|6
Grid,161,EUCLIDEAN_DISTANCE,3,7,3<2|2<7|7
Grid,162,EUCLIDEAN_DISTANCE,3,8,3<2|2<7|7<6<12|12<13|6<1|13<14<8|8
Grid,163,EUCLIDEAN_DISTANCE,3,9,3<2|2<7|7<6<12|12<13|13<14<8|6<1|8|14<15|1|15<10<20|10<5|20<25|5<4|4<9|9
Grid,164,EUCLIDEAN_DISTANCE,3,10,3<2|2<7|7<6<12|12<13|13<14<8|14<15|8|15<10<20|6<1|10
Grid,165,EUCLIDEAN_DISTANCE,3,11,3<2|2<7|7<6<12|6<1|12<13|1|13<14<8|8|14<15|15<10<20|10<5|20<25|5<4|25<24|4<9|24<23|23<22<18|9|18<19|22<21<17|17<16|21|16<11|11
Grid,166,EUCLIDEAN_DISTANCE,3,12,3<2|2<7|7<6<12|12
Grid,167,EUCLIDEAN_DISTANCE,3,13,3<2|2<7|7<6<12|12<13|13
Grid,168,EUCLIDEAN_DISTANCE,3,14,3<2|2<7|7<6<12|12<13|13<14<8|14
Grid,169,EUCLIDEAN_DISTANCE,3,15,3<2|2<7|7<6<12|12<13|13<14<8|14<15|15
Grid,170,EUCLIDEAN_DISTANCE,3,16,3<2|2<7|7<6<12|12<13|6<1|13<14<8|1|8|14<15|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
Grid,171,EUCLIDEAN_DISTANCE,3,17,3<2|2<7|7<6<12|12<13|6<1|13<14<8|1|8|14<15|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17
Grid,172,EUCLIDEAN_DISTANCE,3,18,3<2|2<7|7<6<12|12<13|13<14<8|6<1|14<15|8|1|15<10<20|20<25|10<5|25<24|24<23|23<22<18|18
Grid,173,EUCLIDEAN_DISTANCE,3,19,3<2|2<7|7<6<12|12<13|13<14<8|14<15|6<1|8|15<10<20|20<25|1|10<5|25<24|24<23|5<4|23<22<18|4<9|18<19|9|19
Grid,174,EUCLIDEAN_DISTANCE,3,20,3<2|2<7|7<6<12|12<13|13<14<8|14<15|15<10<20|20
Grid,175,EUCLIDEAN_DISTANCE,3,21,3<2|2<7|7<6<12|12<13|6<1|13<14<8|1|8|14<15|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|21
Grid,176,EUCLIDEAN_DISTANCE,3,22,3<2|2<7|7<6<12|12<13|6<1|13<14<8|14<15|1|8|15<10<20|20<25|25<24|24<23|23<22<18|22
Grid,177,EUCLIDEAN_DISTANCE,3,23,3<2|2<7|7<6<12|12<13|13<14<8|6<1|14<15|8|1|15<10<20|20<25|25<24|24<23|23
Grid,178,EUCLIDEAN_DISTANCE,3,24,3<2|2<7|7<6<12|12<13|13<14<8|14<15|6<1|8|15<10<20|20<25|1|25<24|24
Grid,179,EUCLIDEAN_DISTANCE,3,25,3<2|2<7|7<6<12|12<13|13<14<8|14<15|6<1|15<10<20|20<25|25
Grid,180,EUCLIDEAN_DISTANCE,4,1,4<3<9|3<2|2<7|9<10<14|7<6<12|6<1|1
Grid,181,EUCLIDEAN_DISTANCE,4,2,4<3<9|3<2|2
Grid,182,EUCLIDEAN_DISTANCE,4,3,4<3<9|3
Grid,183,EUCLIDEAN_DISTANCE,4,4,4
Grid,184,EUCLIDEAN_DISTANCE,4,5,4<3<9|9<10<14|3<2|10<5|5
Grid,185,EUCLIDEAN_DISTANCE,4,6,4<3<9|3<2|2<7|9<10<14|7<6<12|6
Grid,186,EUCLIDEAN_DISTANCE,4,7,4<3<9|3<2|9<10<14|2<7|7
Grid,187,EUCLIDEAN_DISTANCE,4,8,4<3<9|3<2|9<10<14|2<7|14<15|7<6<12|10<5|15<20|5|12<13|6<1|13<8|8
Grid,188,EUCLIDEAN_DISTANCE,4,9,4<3<9|9
Grid,189,EUCLIDEAN_DISTANCE,4,10,4<3<9|9<10<14|10
Grid,190,EUCLIDEAN_DISTANCE,4,11,4<3<9|3<2|9<10<14|2<7|7<6<12|14<15|6<1|12<13|10<5|13<8|1|15<20|5|20<25|8|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16<11|11
Grid,191,EUCLIDEAN_DISTANCE,4,12,4<3<9|3<2|9<10<14|2<7|14<15|7<6<12|12
Grid,192,EUCLIDEAN_DISTANCE,4,13,4<3<9|9<10<14|3<2|14<15|2<7|10<5|7<6<12|15<20|12<13|13
Grid,193,EUCLIDEAN_DISTANCE,4,14,4<3<9|9<10<14|14
Grid,194,EUCLIDEAN_DISTANCE,4,15,4<3<9|9<10<14|10<5|14<15|15
Grid,195,EUCLIDEAN_DISTANCE,4,16,4<3<9|3<2|9<10<14|2<7|14<15|7<6<12|12<13|6<1|10<5|15<20|13<8|20<25|5|1|8|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
Grid,196,EUCLIDEAN_DISTANCE,4,17,4<3<9|9<10<14|3<2|14<15|2<7|7<6<12|12<13|10<5|15<20|6<1|13<8|20<25|5|25<24|1|24<23|8|23<22<18|22<21<17|18<19|17
Grid,197,EUCLIDEAN_DISTANCE,4,18,4<3<9|9<10<14|14<15|3<2|10<5|2<7|15<20|7<6<12|12<13|20<25|13<8|5|6<1|25<24|24<23|8|23<22<18|18
Grid,198,EUCLIDEAN_DISTANCE,4,19,4<3<9|9<10<14|14<15|3<2|10<5|15<20|20<25|2<7|7<6<12|5|12<13|25<24|13<8|24<23|6<1|8|23<22<18|18<19|19
Grid,199,EUCLIDEAN_DISTANCE,4,20,4<3<9|9<10<14|14<15|10<5|15<20|20
Grid,200,EUCLIDEAN_DISTANCE,4,21,4<3<9|9<10<14|3<2|14<15|2<7|7<6<12|12<13|6<1|10<5|15<20|13<8|20<25|5|1|25<24|24<23|23<22<18|22<21<17|21
Grid,201,EUCLIDEAN_DISTANCE,4,22,4<3<9|9<10<14|14<15|3<2|2<7|7<6<12|12<13|10<5|15<20|6<1|20<25|13<8|5|25<24|24<23|23<22<18|22
Grid,202,EUCLIDEAN_DISTANCE,4,23,4<3<9|9<10<14|14<15|3<2|10<5|15<20|2<7|7<6<12|20<25|12<13|25<24|13<8|24<23|23
Grid,203,EUCLIDEAN_DISTANCE,4,24,4<3<9|9<10<14|14<15|3<2|10<5|15<20|20<25|25<24|24
Grid,204,EUCLIDEAN_DISTANCE,4,25,4<3<9|9<10<14|14<15|10<5|15<20|20<25|25
Grid,205,EUCLIDEAN_DISTANCE,5,1,5<4|4<3<9|3<2|2<7|9<10<14|7<6<12|6<1|1
Grid,206,EUCLIDEAN_DISTANCE,5,2,5<4|4<3<9|3<2|2
Grid,207,EUCLIDEAN_DISTANCE,5,3,5<4|4<3<9|3
Grid,208,EUCLIDEAN_DISTANCE,5,4,5<4|4
Grid,209,EUCLIDEAN_DISTANCE,5,5,5
Grid,210,EUCLIDEAN_DISTANCE,5,6,5<4|4<3<9|3<2|2<7|9<10<14|7<6<12|6
Grid,211,EUCLIDEAN_DISTANCE,5,7,5<4|4<3<9|3<2|9<10<14|2<7|7
Grid,212,EUCLIDEAN_DISTANCE,5,8,5<4|4<3<9|3<2|9<10<14|2<7|14<15|7<6<12|10|15<20|12<13|6<1|13<8|8
Grid,213,EUCLIDEAN_DISTANCE,5,9,5<4|4<3<9|9
Grid,214,EUCLIDEAN_DISTANCE,5,10,5<4|4<3<9|9<10<14|10
Grid,215,EUCLIDEAN_DISTANCE,5,11,5<4|4<3<9|3<2|9<10<14|2<7|7<6<12|14<15|6<1|12<13|10|13<8|1|15<20|20<25|8|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16<11|11
Grid,216,EUCLIDEAN_DISTANCE,5,12,5<4|4<3<9|3<2|9<10<14|2<7|14<15|7<6<12|12
Grid,217,EUCLIDEAN_DISTANCE,5,13,5<4|4<3<9|9<10<14|3<2|14<15|2<7|10|7<6<12|15<20|12<13|13
Grid,218,EUCLIDEAN_DISTANCE,5,14,5<4|4<3<9|9<10<14|14
Grid,219,EUCLIDEAN_DISTANCE,5,15,5<4|4<3<9|9<10<14|10|14<15|15
Grid,220,EUCLIDEAN_DISTANCE,5,16,5<4|4<3<9|3<2|9<10<14|2<7|14<15|7<6<12|12<13|6<1|10|15<20|13<8|20<25|1|8|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
Grid,221,EUCLIDEAN_DISTANCE,5,17,5<4|4<3<9|9<10<14|3<2|14<15|2<7|7<6<12|12<13|10|15<20|6<1|13<8|20<25|1|25<24|8|24<23|23<22<18|22<21<17|18<19|17
Grid,222,EUCLIDEAN_DISTANCE,5,18,5<4|4<3<9|9<10<14|14<15|3<2|10|2<7|15<20|7<6<12|12<13|20<25|13<8|6<1|25<24|24<23|8|23<22<18|18
Grid,223,EUCLIDEAN_DISTANCE,5,19,5<4|4<3<9|9<10<14|14<15|3<2|10|15<20|20<25|2<7|7<6<12|12<13|25<24|13<8|24<23|6<1|8|23<22<18|18<19|19
Grid,224,EUCLIDEAN_DISTANCE,5,20,5<4|4<3<9|9<10<14|14<15|10|15<20|20
Grid,225,EUCLIDEAN_DISTANCE,5,21,5<4|4<3<9|9<10<14|3<2|14<15|2<7|7<6<12|12<13|6<1|10|15<20|13<8|20<25|1|25<24|24<23|23<22<18|22<21<17|21
Grid,226,EUCLIDEAN_DISTANCE,5,22,5<4|4<3<9|9<10<14|14<15|3<2|2<7|7<6<12|12<13|10|15<20|6<1|20<25|13<8|25<24|24<23|23<22<18|22
Grid,227,EUCLIDEAN_DISTANCE,5,23,5<4|4<3<9|9<10<14|14<15|3<2|10|15<20|2<7|7<6<12|20<25|12<13|25<24|13<8|24<23|23
Grid,228,EUCLIDEAN_DISTANCE,5,24,5<4|4<3<9|9<10<14|14<15|3<2|10|15<20|20<25|25<24|24
Grid,229,EUCLIDEAN_DISTANCE,5,25,5<4|4<3<9|9<10<14|14<15|10|15<20|20<25|25
Grid,230,EUCLIDEAN_DISTANCE,6,1,6<1|1
Grid,231,EUCLIDEAN_DISTANCE,6,2,6<1|1<2|2
Grid,232,EUCLIDEAN_DISTANCE,6,3,6<1|1<2|2<7|7<12|12<13|13<14<8|8<3|3
Grid,233,EUCLIDEAN_DISTANCE,6,4,6<1|1<2|2<7|7<12|12<13|13<14<8|8<3|14<15|3|15<10<20|10<5|5<4|4
Grid,234,EUCLIDEAN_DISTANCE,6,5,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|3|10<5|5
Grid,235,EUCLIDEAN_DISTANCE,6,6,6
Grid,236,EUCLIDEAN_DISTANCE,6,7,6<1|1<2|2<7|7
Grid,237,EUCLIDEAN_DISTANCE,6,8,6<1|1<2|2<7|7<12|12<13|13<14<8|8
Grid,238,EUCLIDEAN_DISTANCE,6,9,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|3|10<5|20<25|5<4|4<9|9
Grid,239,EUCLIDEAN_DISTANCE,6,10,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|10
Grid,240,EUCLIDEAN_DISTANCE,6,11,6<1|1<2|2<7|7<12|12<13|13<14<8|8<3|14<15|3|15<10<20|10<5|20<25|5<4|25<24|4<9|24<23|23<22<18|9|18<19|22<21<17|17<16|21|16<11|11
Grid,241,EUCLIDEAN_DISTANCE,6,12,6<1|1<2|2<7|7<12|12
Grid,242,EUCLIDEAN_DISTANCE,6,13,6<1|1<2|2<7|7<12|12<13|13
Grid,243,EUCLIDEAN_DISTANCE,6,14,6<1|1<2|2<7|7<12|12<13|13<14<8|14
Grid,244,EUCLIDEAN_DISTANCE,6,15,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|15
Grid,245,EUCLIDEAN_DISTANCE,6,16,6<1|1<2|2<7|7<12|12<13|13<14<8|8<3|14<15|3|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
Grid,246,EUCLIDEAN_DISTANCE,6,17,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17
Grid,247,EUCLIDEAN_DISTANCE,6,18,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|18
Grid,248,EUCLIDEAN_DISTANCE,6,19,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|20<25|3|10<5|25<24|24<23|5<4|23<22<18|4<9|18<19|9|19
Grid,249,EUCLIDEAN_DISTANCE,6,20,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|15<10<20|20
Grid,250,EUCLIDEAN_DISTANCE,6,21,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|22<21<17|21
Grid,251,EUCLIDEAN_DISTANCE,6,22,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|3|20<25|25<24|24<23|23<22<18|22
Grid,252,EUCLIDEAN_DISTANCE,6,23,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|20<25|3|25<24|24<23|23
Grid,253,EUCLIDEAN_DISTANCE,6,24,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|8<3|15<10<20|20<25|25<24|24
Grid,254,EUCLIDEAN_DISTANCE,6,25,6<1|1<2|2<7|7<12|12<13|13<14<8|14<15|15<10<20|20<25|25
Grid,255,EUCLIDEAN_DISTANCE,7,1,7<6<12|6<1|1
Grid,256,EUCLIDEAN_DISTANCE,7,2,7<6<12|6<1|12<13|1<2|2
Grid,257,EUCLIDEAN_DISTANCE,7,3,7<6<12|6<1|12<13|1<2|13<14<8|2|8<3|3
Grid,258,EUCLIDEAN_DISTANCE,7,4,7<6<12|12<13|6<1|13<14<8|8<3|1<2|3|2|14<15|15<10<20|10<5|5<4|4
Grid,259,EUCLIDEAN_DISTANCE,7,5,7<6<12|12<13|13<14<8|6<1|8<3|14<15|3<2|15<10<20|1<2|10<5|2|5
Grid,260,EUCLIDEAN_DISTANCE,7,6,7<6<12|6
Grid,261,EUCLIDEAN_DISTANCE,7,7,7
Grid,262,EUCLIDEAN_DISTANCE,7,8,7<6<12|12<13|6<1|13<14<8|8
Grid,263,EUCLIDEAN_DISTANCE,7,9,7<6<12|12<13|13<14<8|6<1|8<3|14<15|1<2|2|15<10<20|3|10<5|20<25|5<4|4<9|9
Grid,264,EUCLIDEAN_DISTANCE,7,10,7<6<12|12<13|13<14<8|14<15|8<3|15<10<20|6<1|10
Grid,265,EUCLIDEAN_DISTANCE,7,11,7<6<12|6<1|12<13|1<2|13<14<8|2|8<3|14<15|3|15<10<20|10<5|20<25|5<4|25<24|4<9|24<23|23<22<18|9|18<19|22<21<17|17<16|21|16<11|11
Grid,266,EUCLIDEAN_DISTANCE,7,12,7<6<12|12
Grid,267,EUCLIDEAN_DISTANCE,7,13,7<6<12|12<13|13
Grid,268,EUCLIDEAN_DISTANCE,7,14,7<6<12|12<13|13<14<8|14
Grid,269,EUCLIDEAN_DISTANCE,7,15,7<6<12|12<13|13<14<8|14<15|15
Grid,270,EUCLIDEAN_DISTANCE,7,16,7<6<12|12<13|6<1|13<14<8|1<2|8<3|2|14<15|3|15<10<20|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17<16|21|16
Grid,271,EUCLIDEAN_DISTANCE,7,17,7<6<12|12<13|6<1|13<14<8|1<2|8<3|14<15|2|15<10<20|3|20<25|10<5|25<24|24<23|23<22<18|22<21<17|18<19|17
